,value,file
0,Пользователя,68987
1,Сайта,62803
2,Пользователем,22624
3,Пользователь,19807
4,Пользователю,15899
5,Администрация,14246
6,Политика,12000
7,Оператор,10664
8,Оператора,9327
9,Оператору,8710
10,Товара,8679
11,Политики,8584
12,Пользователей,8423
13,Сайт,7563
14,Администрацией,7377
15,Настоящая,7253
16,Оператором,6602
17,Политике,6318
18,Предоставления,6078
19,Политикой,6040
20,Данных,5040
21,Конфиденциальности,4872
22,Сайте,4660
23,Пользователе,4546
24,ИП,3998
25,Администрации,3892
26,Интернет,3892
27,Сервиса,2924
28,Сайтом,2852
29,Сервисов,2815
30,Продавца,2621
31,Персональные,2534
32,Соглашения,2249
33,Вами,2204
34,Данные,2051
35,Покупателем,2044
36,Покупателя,2040
37,ПОЛЬЗОВАТЕЛЯ,1934
38,ИНФОРМАЦИИ,1818
39,ПОЛОЖЕНИЯ,1817
40,Покупатель,1804
41,Товаров,1784
42,Идентификации,1744
43,Соглашением,1684
44,ООО,1575
45,Товар,1568
46,ОБЩИЕ,1564
47,Обработка,1560
48,Определения,1548
49,УСЛОВИЯ,1411
50,Покупателю,1351
51,Яндекс,1243
52,Клиента,1219
53,Пользователям,1213
54,Метрика,1199
55,Продавцом,1188
56,Гугл,1123
57,Аналитика,1119
58,Сайту,1098
59,Пользователями,1081
60,Исполнителя,1054
61,Услуг,1043
62,Продавец,996
63,СПОРОВ,930
64,Вас,863
65,Политику,846
66,Клиентом,845
67,Субъекта,828
68,Контента,821
69,До,818
70,Ответственность,800
71,Заказчика,755
72,Услуги,719
73,ИНН,713
74,Клиент,680
75,Ваше,632
76,Адрес,626
77,Администратора,598
78,Заказа,575
79,Мы,570
80,Все,557
81,Правилами,533
82,Продавцу,518
83,Администрацию,499
84,Ресурса,495
85,Пользователи,494
86,Оферты,493
87,Вашу,469
88,Администратором,465
89,Сервисы,458
90,Ваши,456
91,ОГРНИП,455
92,Товары,453
93,Имя,445
94,Соглашению,437
95,Ваш,432
96,Регистрация,432
97,Заказ,418
98,Условия,415
99,Саи,405
100,Предоставление,393
101,её,386
102,Настоящим,381
103,Правообладателя,374
104,ее,368
105,Веб,366
106,Информация,358
107,Администратору,355
108,Сторон,352
109,Пользователях,350
110,Сервис,348
111,куки,344
112,Законом,343
113,Владельца,340
114,САЙТА,340
115,Под,330
116,Исполнителю,326
117,Посетителем,325
118,Правил,323
119,Осуществления,322
120,Объявлений,313
121,реферер,309
122,Товару,303
123,Посетитель,302
124,Правительства,301
125,Материалов,298
126,иной,298
127,Сервису,298
128,Клиенту,286
129,Сайтов,281
130,Сервисом,280
131,Российской,277
132,Персональных,268
133,Вам,263
134,Администратор,251
136,Стороны,239
137,Фамилия,237
138,Регистрации,236
139,Пн,228
140,ОТВЕТСТВЕННОСТЬ,225
141,Владельцем,221
142,Ру,214
143,Одеялко,213
144,Обществом,211
145,Компании,203
146,Пт,202
