,file,library,type,value
0,resources/sanitized_html/www.domizbrysa.ru-confident.html.md,deeppavlov,loc,Российской
1,resources/sanitized_html/www.domizbrysa.ru-confident.html.md,deeppavlov,loc,Российской
2,resources/sanitized_html/itgroup.kz-politika-konfidentsialnosti.html.html.md,deeppavlov,loc,Республика
3,resources/sanitized_html/colorance.ru-privacy-policy.html.md,deeppavlov,per,Сергевой Алёны
4,resources/sanitized_html/www.zapishi-podari.ru-polzovatelskoe-soglashenie.html.md,deeppavlov,per,Кочеткова Елена
5,resources/sanitized_html/www.zapishi-podari.ru-polzovatelskoe-soglashenie.html.md,deeppavlov,loc,вызывать
6,resources/sanitized_html/www.zapishi-podari.ru-polzovatelskoe-soglashenie.html.md,deeppavlov,loc,
7,resources/sanitized_html/www.kaleja.ru-confident.html.md,deeppavlov,loc,Московская
8,resources/sanitized_html/tc67.ru-about-agreement.html.md,deeppavlov,loc,Смоленской
9,resources/sanitized_html/tc67.ru-about-agreement.html.md,deeppavlov,loc,Смоленской
10,resources/sanitized_html/tc67.ru-about-agreement.html.md,deeppavlov,loc,Смоленской
11,resources/sanitized_html/www.rso.ru-politica.php.html.md,deeppavlov,loc,обработку
12,resources/sanitized_html/www.rso.ru-politica.php.html.md,deeppavlov,loc,
13,resources/sanitized_html/www.123ogame.com-guest-index-article-id-28.html.html.md,deeppavlov,loc,в
14,resources/sanitized_html/www.123ogame.com-guest-index-article-id-28.html.html.md,deeppavlov,loc,абсолютно
15,resources/sanitized_html/euromebel.kz-terms_of_use.html.md,deeppavlov,loc,Республики
16,resources/sanitized_html/euromebel.kz-terms_of_use.html.md,deeppavlov,loc,упаковки
17,resources/sanitized_html/euromebel.kz-terms_of_use.html.md,deeppavlov,loc,виде
18,resources/sanitized_html/ltsun.ru-kontakty-polzovatyelskoye-soglashyeniye.html.md,deeppavlov,loc,Российской
19,resources/sanitized_html/www.fotoshopping.info-privacy-policy.html.md,deeppavlov,loc,Российской
20,resources/sanitized_html/sovadvice.ru-privacy-policy.html.md,deeppavlov,per,Саушкиной Ольгой
21,resources/sanitized_html/www.mfisoft.ru-politika-konfidentsialnosti.html.md,deeppavlov,loc,Нижний
22,resources/sanitized_html/www.mfisoft.ru-politika-konfidentsialnosti.html.md,deeppavlov,loc,Нижний
23,resources/sanitized_html/stalgert.ru-polzovatelscoe-soglashenie.html.md,deeppavlov,loc,Российской
24,resources/sanitized_html/spb.yanaflowers.ru-politika-konfidencialnosti.html.md,deeppavlov,loc,Российской
25,resources/sanitized_html/spb.yanaflowers.ru-politika-konfidencialnosti.html.md,deeppavlov,loc,Российской
26,resources/sanitized_html/haieronline.ru-content-konfidentsialnost-personalnoy-informatsii.html.md,deeppavlov,loc,Новинский
27,resources/sanitized_html/haieronline.ru-content-konfidentsialnost-personalnoy-informatsii.html.md,deeppavlov,loc,Российской
28,resources/sanitized_html/haieronline.ru-content-konfidentsialnost-personalnoy-informatsii.html.md,deeppavlov,loc,данные
29,resources/sanitized_html/ajor.tilda.ws-politics.html.md,deeppavlov,per,Матвеевой Ириной
30,resources/sanitized_html/androidow.com-polzovatelskoe-soglashenie.html.html.md,deeppavlov,loc,
31,resources/sanitized_html/www.mmolsokcho.com-privacy.html.md,deeppavlov,per,Кашпура Юлия
