,file,library,type,value
0,resources/sanitized_html/www.domizbrysa.ru-confident.html.md,natasha,per,Политики Конфиденциальности
1,resources/sanitized_html/lfg.ru-dostavka_i_oplata-pol_zovatel_skoe_soglashenie.html.md,natasha,per,Продавцу
2,resources/sanitized_html/lfg.ru-dostavka_i_oplata-pol_zovatel_skoe_soglashenie.html.md,natasha,per,Продавцомдля
3,resources/sanitized_html/lfg.ru-dostavka_i_oplata-pol_zovatel_skoe_soglashenie.html.md,natasha,per,Продавцу
4,resources/sanitized_html/lfg.ru-dostavka_i_oplata-pol_zovatel_skoe_soglashenie.html.md,natasha,per,Продавца
5,resources/sanitized_html/lfg.ru-dostavka_i_oplata-pol_zovatel_skoe_soglashenie.html.md,natasha,per,Продавца
6,resources/sanitized_html/lfg.ru-dostavka_i_oplata-pol_zovatel_skoe_soglashenie.html.md,natasha,per,Продавца
7,resources/sanitized_html/lfg.ru-dostavka_i_oplata-pol_zovatel_skoe_soglashenie.html.md,natasha,loc,РФ
8,resources/sanitized_html/lfg.ru-dostavka_i_oplata-pol_zovatel_skoe_soglashenie.html.md,natasha,per,Продавца Клиенту
9,resources/sanitized_html/lfg.ru-dostavka_i_oplata-pol_zovatel_skoe_soglashenie.html.md,natasha,per,Продавца Клиенту
10,resources/sanitized_html/lfg.ru-dostavka_i_oplata-pol_zovatel_skoe_soglashenie.html.md,natasha,loc,России
11,resources/sanitized_html/lfg.ru-dostavka_i_oplata-pol_zovatel_skoe_soglashenie.html.md,natasha,loc,Новосибирска
12,resources/sanitized_html/lfg.ru-dostavka_i_oplata-pol_zovatel_skoe_soglashenie.html.md,natasha,loc,России
13,resources/sanitized_html/lfg.ru-dostavka_i_oplata-pol_zovatel_skoe_soglashenie.html.md,natasha,loc,России
14,resources/sanitized_html/lfg.ru-dostavka_i_oplata-pol_zovatel_skoe_soglashenie.html.md,natasha,loc,Новосибирска
15,resources/sanitized_html/lfg.ru-dostavka_i_oplata-pol_zovatel_skoe_soglashenie.html.md,natasha,per,Продавца
16,resources/sanitized_html/lfg.ru-dostavka_i_oplata-pol_zovatel_skoe_soglashenie.html.md,natasha,per,Продавцу
17,resources/sanitized_html/itgroup.kz-politika-konfidentsialnosti.html.html.md,natasha,per,Гумара Караша
18,resources/sanitized_html/teksator.ru-policy.html.md,natasha,per,Оператора
19,resources/sanitized_html/teksator.ru-policy.html.md,natasha,per,Политика
20,resources/sanitized_html/teksator.ru-policy.html.md,natasha,per,Оператор
21,resources/sanitized_html/colorance.ru-privacy-policy.html.md,natasha,per,Сергевой Алёны Ивановны
22,resources/sanitized_html/colorance.ru-privacy-policy.html.md,natasha,per,Оператора
23,resources/sanitized_html/colorance.ru-privacy-policy.html.md,natasha,per,Политика
24,resources/sanitized_html/colorance.ru-privacy-policy.html.md,natasha,per,Оператор
25,resources/sanitized_html/www.zapishi-podari.ru-polzovatelskoe-soglashenie.html.md,natasha,loc,Москва
26,resources/sanitized_html/www.zapishi-podari.ru-polzovatelskoe-soglashenie.html.md,natasha,per,Заказчик
27,resources/sanitized_html/www.zapishi-podari.ru-polzovatelskoe-soglashenie.html.md,natasha,per,Саи
28,resources/sanitized_html/www.zapishi-podari.ru-polzovatelskoe-soglashenie.html.md,natasha,per,Товара
29,resources/sanitized_html/www.zapishi-podari.ru-polzovatelskoe-soglashenie.html.md,natasha,loc,Москве
30,resources/sanitized_html/www.zapishi-podari.ru-polzovatelskoe-soglashenie.html.md,natasha,per,Ф.И.О.
31,resources/sanitized_html/www.zapishi-podari.ru-polzovatelskoe-soglashenie.html.md,natasha,loc,РФ
32,resources/sanitized_html/www.zapishi-podari.ru-polzovatelskoe-soglashenie.html.md,natasha,loc,РФ
33,resources/sanitized_html/www.zapishi-podari.ru-polzovatelskoe-soglashenie.html.md,natasha,loc,РФ
34,resources/sanitized_html/www.zapishi-podari.ru-polzovatelskoe-soglashenie.html.md,natasha,loc,РФ
35,resources/sanitized_html/www.zapishi-podari.ru-polzovatelskoe-soglashenie.html.md,natasha,per,Заказчика
36,resources/sanitized_html/www.zapishi-podari.ru-polzovatelskoe-soglashenie.html.md,natasha,loc,РФ
37,resources/sanitized_html/www.zapishi-podari.ru-polzovatelskoe-soglashenie.html.md,natasha,loc,РФ
38,resources/sanitized_html/www.zapishi-podari.ru-polzovatelskoe-soglashenie.html.md,natasha,loc,Москвы
39,resources/sanitized_html/www.zapishi-podari.ru-polzovatelskoe-soglashenie.html.md,natasha,loc,РФ
40,resources/sanitized_html/www.zapishi-podari.ru-polzovatelskoe-soglashenie.html.md,natasha,per,Товара
41,resources/sanitized_html/www.zapishi-podari.ru-polzovatelskoe-soglashenie.html.md,natasha,loc,РФ
42,resources/sanitized_html/www.zapishi-podari.ru-polzovatelskoe-soglashenie.html.md,natasha,per,Форс Мажор
43,resources/sanitized_html/www.zapishi-podari.ru-polzovatelskoe-soglashenie.html.md,natasha,per,Заказчика
44,resources/sanitized_html/www.zapishi-podari.ru-polzovatelskoe-soglashenie.html.md,natasha,loc,России
