,file,library,type,value
0,resources/sanitized_html/itgroup.kz-politika-konfidentsialnosti.html.html.md,transformers,loc,Казахстан
1,resources/sanitized_html/itgroup.kz-politika-konfidentsialnosti.html.html.md,transformers,loc,Уральск
2,resources/sanitized_html/www.zapishi-podari.ru-polzovatelskoe-soglashenie.html.md,transformers,per,Кочеткова
3,resources/sanitized_html/tc67.ru-about-agreement.html.md,transformers,loc,Смоленску
4,resources/sanitized_html/tc67.ru-about-agreement.html.md,transformers,loc,области
5,resources/sanitized_html/tc67.ru-about-agreement.html.md,transformers,loc,Смоленску
6,resources/sanitized_html/tape21.ru-personal-rules-personal_data.php.html.md,transformers,per,Франко
7,resources/sanitized_html/imoms.ru-privacy-policy.html.md,transformers,per,М
8,resources/sanitized_html/imoms.ru-privacy-policy.html.md,transformers,per,Г
9,resources/sanitized_html/hostelufa.ru-privacy.html.md,transformers,per,Р
10,resources/sanitized_html/hostelufa.ru-privacy.html.md,transformers,per,Рамазановым
11,resources/sanitized_html/vuoksa-sport.ru-polzovatelskoe-soglashenie.html.md,transformers,loc,Приозерский
12,resources/sanitized_html/vuoksa-sport.ru-polzovatelskoe-soglashenie.html.md,transformers,loc,Приозерск
13,resources/sanitized_html/vuoksa-sport.ru-polzovatelskoe-soglashenie.html.md,transformers,loc,Морская
14,resources/sanitized_html/decorcorner.ru-politika-konfidentsialnosti.html.md,transformers,loc,область
15,resources/sanitized_html/www.vodyanoyznak.ru-politika.html.md,transformers,loc,- Петербург
16,resources/sanitized_html/www.vodyanoyznak.ru-politika.html.md,transformers,loc,- Петергофский
17,resources/sanitized_html/www.hyundai-petersburg.ru-soglasie-na-obrabotku.html.md,transformers,loc,- Петербург
18,resources/sanitized_html/www.hyundai-petersburg.ru-soglasie-na-obrabotku.html.md,transformers,loc,- Петербург
19,resources/sanitized_html/biopoisk.com-politica.html.md,transformers,loc,Ленобласти
20,resources/sanitized_html/biopoisk.com-politica.html.md,transformers,loc,Ленобласти
21,resources/sanitized_html/gk-raduga.ru-politika-konfidencialnosti.html.md,transformers,per,Васильевна
22,resources/sanitized_html/gk-raduga.ru-politika-konfidencialnosti.html.md,transformers,loc,область
23,resources/sanitized_html/gk-raduga.ru-politika-konfidencialnosti.html.md,transformers,loc,Переславль
24,resources/sanitized_html/www.mamapapa.ru-politika-konfidentsialnosti.html.md,transformers,per,07
25,resources/sanitized_html/www.mamapapa.ru-politika-konfidentsialnosti.html.md,transformers,per,Е
26,resources/sanitized_html/www.mamapapa.ru-politika-konfidentsialnosti.html.md,transformers,per,М
27,resources/sanitized_html/www.mamapapa.ru-politika-konfidentsialnosti.html.md,transformers,per,Е
28,resources/sanitized_html/www.mamapapa.ru-politika-konfidentsialnosti.html.md,transformers,per,Ланцбург М
29,resources/sanitized_html/www.mamapapa.ru-politika-konfidentsialnosti.html.md,transformers,per,Е
30,resources/sanitized_html/www.mamapapa.ru-politika-konfidentsialnosti.html.md,transformers,per,Е
31,resources/sanitized_html/www.mamapapa.ru-politika-konfidentsialnosti.html.md,transformers,per,Ланцбург М
32,resources/sanitized_html/www.mamapapa.ru-politika-konfidentsialnosti.html.md,transformers,per,Е
33,resources/sanitized_html/www.mamapapa.ru-politika-konfidentsialnosti.html.md,transformers,per,Ланцбург М
34,resources/sanitized_html/www.mamapapa.ru-politika-konfidentsialnosti.html.md,transformers,per,Е
35,resources/sanitized_html/strujkootsos.ru-user-agreement.html.md,transformers,loc,Новгород
36,resources/sanitized_html/uk-malahit.ru-agreement.html.md,transformers,loc,Санкт - Петербург
37,resources/sanitized_html/xn----8sbbajmtdjcgj8acbkvkjf.xn--p1ai-personal-nye-dannye.html.html.md,transformers,loc,муниципального района
38,resources/sanitized_html/xn----8sbbajmtdjcgj8acbkvkjf.xn--p1ai-personal-nye-dannye.html.html.md,transformers,loc,области
39,resources/sanitized_html/xn----8sbbajmtdjcgj8acbkvkjf.xn--p1ai-personal-nye-dannye.html.html.md,transformers,loc,муниципального района
40,resources/sanitized_html/xn----8sbbajmtdjcgj8acbkvkjf.xn--p1ai-personal-nye-dannye.html.html.md,transformers,loc,области
41,resources/sanitized_html/xn----8sbbajmtdjcgj8acbkvkjf.xn--p1ai-personal-nye-dannye.html.html.md,transformers,loc,муниципального района
42,resources/sanitized_html/xn----8sbbajmtdjcgj8acbkvkjf.xn--p1ai-personal-nye-dannye.html.html.md,transformers,loc,муниципального района
43,resources/sanitized_html/xn----8sbbajmtdjcgj8acbkvkjf.xn--p1ai-personal-nye-dannye.html.html.md,transformers,loc,область
44,resources/sanitized_html/xn----8sbbajmtdjcgj8acbkvkjf.xn--p1ai-personal-nye-dannye.html.html.md,transformers,loc,область
45,resources/sanitized_html/xn----8sbbajmtdjcgj8acbkvkjf.xn--p1ai-personal-nye-dannye.html.html.md,transformers,loc,район
46,resources/sanitized_html/www.ksk-kansk.ru-politika-konfidentsialnosti.html.md,transformers,loc,край
47,resources/sanitized_html/zaobkz.ru-policy_agreement.html.md,transformers,loc,обл
48,resources/sanitized_html/vacuumsplav.ru-agremeent.html.md,transformers,loc,обл
49,resources/sanitized_html/vacuumsplav.ru-agremeent.html.md,transformers,loc,Салда
50,resources/sanitized_html/office-magnat.ru-users-agreement.html.md,transformers,per,Александровны
51,resources/sanitized_html/office-magnat.ru-users-agreement.html.md,transformers,loc,п. Сосенское
52,resources/sanitized_html/office-magnat.ru-users-agreement.html.md,transformers,loc,Ясеневая
53,resources/sanitized_html/office-magnat.ru-users-agreement.html.md,transformers,loc,.
54,resources/sanitized_html/energo-a.ru-user-agreement.html.md,transformers,loc,Петербург
55,resources/sanitized_html/energo-a.ru-user-agreement.html.md,transformers,loc,Петербург
56,resources/sanitized_html/ruspravo74.ru-privacy-policy.html.html.md,transformers,per,Е. Е
57,resources/sanitized_html/ruspravo74.ru-privacy-policy.html.html.md,transformers,per,Е. Е
58,resources/sanitized_html/ruspravo74.ru-privacy-policy.html.html.md,transformers,per,Е
59,resources/sanitized_html/ruspravo74.ru-privacy-policy.html.html.md,transformers,per,Е
60,resources/sanitized_html/ruspravo74.ru-privacy-policy.html.html.md,transformers,per,Е. Е
61,resources/sanitized_html/ruspravo74.ru-privacy-policy.html.html.md,transformers,per,Е. Е
62,resources/sanitized_html/ruspravo74.ru-privacy-policy.html.html.md,transformers,per,Евгений Евгеньевич
63,resources/sanitized_html/ruspravo74.ru-privacy-policy.html.html.md,transformers,per,Е. Е
64,resources/sanitized_html/nash-pediatr.ru-pravovaya-informatsiya.html.md,transformers,loc,. Москвы
65,resources/sanitized_html/nash-pediatr.ru-pravovaya-informatsiya.html.md,transformers,loc,Москва Графский
66,resources/sanitized_html/nash-pediatr.ru-pravovaya-informatsiya.html.md,transformers,loc,4
67,resources/sanitized_html/nash-pediatr.ru-pravovaya-informatsiya.html.md,transformers,loc,117198
68,resources/sanitized_html/nash-pediatr.ru-pravovaya-informatsiya.html.md,transformers,loc,Москва
69,resources/sanitized_html/nash-pediatr.ru-pravovaya-informatsiya.html.md,transformers,loc,Рахмановский
70,resources/sanitized_html/nash-pediatr.ru-pravovaya-informatsiya.html.md,transformers,loc,Москвы
71,resources/sanitized_html/nash-pediatr.ru-pravovaya-informatsiya.html.md,transformers,loc,mosgorzdrav
72,resources/sanitized_html/nash-pediatr.ru-pravovaya-informatsiya.html.md,transformers,loc,Москве
73,resources/sanitized_html/nash-pediatr.ru-pravovaya-informatsiya.html.md,transformers,loc,. Москва
74,resources/sanitized_html/nash-pediatr.ru-pravovaya-informatsiya.html.md,transformers,loc,Графский пер
75,resources/sanitized_html/nash-pediatr.ru-pravovaya-informatsiya.html.md,transformers,loc,. 4
76,resources/sanitized_html/nash-pediatr.ru-pravovaya-informatsiya.html.md,transformers,loc,Москве
77,resources/sanitized_html/nash-pediatr.ru-pravovaya-informatsiya.html.md,transformers,loc,Москва
78,resources/sanitized_html/nash-pediatr.ru-pravovaya-informatsiya.html.md,transformers,loc,Графский
79,resources/sanitized_html/xn--90achc5cebid7hxa.xn--p1ai-polzovatelskoe-soglashenie.html.md,transformers,per,С
80,resources/sanitized_html/xn--90achc5cebid7hxa.xn--p1ai-polzovatelskoe-soglashenie.html.md,transformers,per,О
81,resources/sanitized_html/vseprokat.ru-user-agreement.html.md,transformers,loc,Марушкино
82,resources/sanitized_html/lostres.ru-agreement.html.md,transformers,per,О
